Timestamp,Microseconds,Report_1_IA,Report_1_IB,Report_1_IC,Report_1_VA_kV,Report_1_VB_kV,Report_1_VC_kV
2019/07/12 13:20:45.593641,0,5.170364,-4.163445,-8.167084,9.678877,-9.640694,-0.06222539
2019/07/12 13:20:45.593772,130.186,5.330171,-4.640035,-8.007277,9.939093,-9.376236,-0.5600286
2019/07/12 13:20:45.593902,260.373,5.011972,-5.064299,-7.636753,10.11587,-9.127335,-0.9913636
2019/07/12 13:20:45.594032,390.56,5.118039,-5.011972,-8.007277,10.27567,-8.865705,-1.438255
2019/07/12 13:20:45.594162,520.746,5.436237,-4.427903,-8.830349,10.46659,-8.530536,-1.961514
2019/07/12 13:20:45.594292,650.933,6.522353,-2.757716,-11.21613,10.69428,-8.068089,-2.626194
2019/07/12 13:20:45.594423,781.119,7.106423,-1.326532,-13.15219,10.90924,-7.553315,-3.347444
2019/07/12 13:20:45.594553,911.306,7.424621,-0.9008541,-13.97384,11.07471,-7.109251,-3.966869
2019/07/12 13:20:45.594683,1041.493,6.655289,-1.193596,-12.91318,11.1836,-6.728828,-4.463258
2019/07/12 13:20:45.594813,1171.679,5.038843,-1.750796,-11.03087,11.23734,-6.38376,-4.853581
2019/07/12 13:20:45.594943,1301.866,3.633115,-1.458054,-9.545941,11.26421,-6.035863,-5.217033
2019/07/12 13:20:45.595074,1432.053,2.173646,-0.3450681,-9.572811,11.25007,-5.635641,-5.605942
2019/07/12 13:20:45.595204,1562.239,1.61786,1.458054,-11.11006,11.20764,-5.156222,-6.055663
2019/07/12 13:20:45.595334,1692.426,1.803122,2.810042,-12.33053,11.17229,-4.659834,-6.511039
2019/07/12 13:20:45.595464,1822.613,2.042124,3.288047,-13.36432,11.13976,-4.195971,-6.929646
2019/07/12 13:20:45.595594,1952.799,1.803122,3.367243,-13.70939,11.06056,-3.682612,-7.368052
2019/07/12 13:20:45.595724,2082.986,0.7693322,4.109704,-14.02758,10.8951,-3.041973,-7.848886
2019/07/12 13:20:45.595855,2213.172,-0.2390021,4.163445,-13.47038,10.67166,-2.37305,-8.297191
2019/07/12 13:20:45.595985,2343.359,-0.7693322,3.791507,-12.54266,10.42841,-1.810193,-8.615389
2019/07/12 13:20:45.596115,2473.546,-0.50346,3.049044,-12.48892,10.18375,-1.286934,-8.888331
2019/07/12 13:20:45.596245,2603.732,-0.291328,2.996718,-13.25825,9.933436,-0.6986215,-9.237643
2019/07/12 13:20:45.596375,2733.919,0.6632662,3.420982,-14.61024,9.680291,-0.06081118,-9.627966
2019/07/12 13:20:45.596506,2864.106,1.299662,3.739181,-15.30038,9.432804,0.5133595,-9.956063
2019/07/12 13:20:45.596636,2994.292,1.61786,3.659985,-14.92844,9.183903,0.9758073,-10.17244
2019/07/12 13:20:45.596766,3124.479,2.042124,3.341786,-14.74318,8.922274,1.384515,-10.328
2019/07/12 13:20:45.596896,3254.666,1.855448,3.766051,-14.21285,8.60549,1.871004,-10.49205
2019/07/12 13:20:45.597026,3384.852,0.5303301,5.806761,-14.79692,8.175569,2.518714,-10.70418
2019/07/12 13:20:45.597157,3515.039,-0.9008541,8.167084,-15.45877,7.662209,3.248448,-10.92339
2019/07/12 13:20:45.597287,3645.225,-0.9008541,8.803479,-15.61857,7.201175,3.86646,-11.08743
2019/07/12 13:20:45.597417,3775.412,-0.715592,8.007277,-14.84924,6.836308,4.328908,-11.18501
2019/07/12 13:20:45.597547,3905.599,0.4511341,5.885957,-13.52412,6.513867,4.695189,-11.21471
2019/07/12 13:20:45.597677,4035.785,0.4511341,4.21577,-11.93313,6.171628,5.040257,-11.2133
2019/07/12 13:20:45.597807,4165.972,-1.008334,4.136575,-10.81873,5.74595,5.460279,-11.2133
2019/07/12 13:20:45.597938,4296.159,-3.022174,5.885957,-10.31527,5.239661,5.96091,-11.21471
2019/07/12 13:20:45.598068,4426.345,-4.799841,7.742819,-10.20921,4.727716,6.455885,-11.1935
2019/07/12 13:20:45.598198,4556.532,-5.303301,8.537607,-10.50054,4.272339,6.874492,-11.15107
2019/07/12 13:20:45.598328,4686.719,-4.7461,8.034147,-10.71267,3.81272,7.266229,-11.08743
2019/07/12 13:20:45.598458,4816.905,-4.932777,7.822015,-10.23466,3.241378,7.724434,-10.97147
2019/07/12 13:20:45.598589,4947.092,-4.958233,7.689079,-9.572811,2.595082,8.208096,-10.80318
2019/07/12 13:20:45.598719,5077.279,-5.118039,7.133293,-9.333809,2.008183,8.574377,-10.59387
2019/07/12 13:20:45.598849,5207.465,-4.401032,7.052683,-9.333809,1.480682,8.854391,-10.34639
2019/07/12 13:20:45.598979,5337.652,-4.666904,7.503818,-9.625137,0.9036825,9.171175,-10.07627
2019/07/12 13:20:45.599109,5467.838,-5.038843,8.43154,-10.26153,0.2658722,9.541699,-9.801914
2019/07/12 13:20:45.599240,5598.025,-5.197235,9.174004,-10.76499,-0.330926,9.859897,-9.533214
2019/07/12 13:20:45.599370,5728.212,-4.772971,9.174004,-11.53433,-0.8117586,10.07344,-9.277241
